"feedback_id","created_at","source_type","audience_stage","country","text","link_method","language","rating","platform","campaign_id","creative_id"
"SIM-FB-001","2026-08-25T09:00:00.000Z","ad_comment","prospect","BR","Gostei da demonstração de retratos com inteligência artificial.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-002","2026-08-26T10:00:00.000Z","ad_comment","prospect","BR","O aplicativo parece fácil de usar para editar fotos de viagem.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-003","2026-08-27T11:00:00.000Z","ad_comment","prospect","BR","As cores do retrato ficaram naturais na demonstração.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-004","2026-08-28T12:00:00.000Z","ad_comment","prospect","BR","Quero experimentar o filtro de iluminação para fotos de família.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-005","2026-08-29T13:00:00.000Z","ad_comment","prospect","BR","A edição de fundo parece útil para minhas fotos de produtos.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-006","2026-08-30T14:00:00.000Z","ad_comment","prospect","BR","Gostei de ver o antes e depois no mesmo vídeo.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-007","2026-08-31T15:00:00.000Z","ad_comment","prospect","BR","O resultado do retrato ficou bonito e bem definido.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-008","2026-08-25T16:00:00.000Z","ad_comment","prospect","BR","A interface mostrada no vídeo parece simples.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-009","2026-08-26T17:00:00.000Z","ad_comment","prospect","BR","Vi este anúncio muitas vezes hoje, gostaria de ver algo novo.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-010","2026-08-27T18:00:00.000Z","ad_comment","prospect","BR","O anúncio promete exportação gratuita, mas o aplicativo pede assinatura.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
